time,household_consumption_kwh
00:00,0.1353352861612644
00:30,0.1724216321820294
01:00,0.21626518967485692
01:30,0.26705189646888394
02:00,0.3246526270389209
02:30,0.3885585324491396
03:00,0.45783436052583476
03:30,0.5310983869221695
04:00,0.6065362496923915
04:30,0.6819534361893012
05:00,0.7548675986926776
05:30,0.822637660344754
06:00,0.8826223751054401
06:30,0.9323572773743697
07:00,0.9697364284181978
07:30,0.9931845079910965
08:00,1.0018057899922423
08:30,0.9954991749375178
09:00,0.9750321146855533
09:30,0.9420700092836397
10:00,0.899160397391959
10:30,0.8496720825283366
11:00,0.7976878531658329
11:30,0.7478461516254593
12:00,0.705123452637429
12:30,0.6745476582841532
13:00,0.6608362866265334
13:30,0.6679638230589156
14:00,0.698680780524294
14:30,0.754030536263868
15:00,0.8329336025906685
15:30,0.9319250488659037
16:00,1.0451312728055628
16:30,1.1645514180755758
17:00,1.2806656130934397
17:30,1.3833326726388795
18:00,1.4628761369835557
18:30,1.5112054684780316
19:00,1.5227941808836123
19:30,1.495348384391225
20:00,1.4300481998983905
20:30,1.3313210313211532
21:00,1.2061921736062247
21:30,1.0633341032745065
22:00,0.911983480687133
22:30,0.7609047843910363
23:00,0.6175522620677163
23:30,0.48752748127095663
